Alloy System,Composition,AM_beg,AM_end,Critical Cooling Rate,Element A,Element B,Xtal A,Xtal B,rA,rB,Amorphous Range,Glassy Alloys,Max deltaq / PP,deltaH,r_bar,size_diff,size_ratio,size_range,DeltaH,cohesiveE_A,cohesiveE_B,H_norm,CrystalMismatch0,CrystalMismatch1,LiquidusT,MeltingT_A,MeltingT_B,Tmean
AlNi,0.61,0.21465,0.33849,9.580867385025266,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,131.85,0.055489184975004345,1.119047619047619,15.0,-10.467600000000001,3.39,4.44,-6.437100000000001,0.2379,3.532399999999999,1853.86,933.15,1728.15,1418.1
AlNi,0.62,0.21465,0.33849,9.662534648471414,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,131.7,0.055283194075223675,1.119047619047619,15.0,-10.3664,3.39,4.44,-6.3254,0.2356,3.6335999999999995,1827.05,933.15,1728.15,1426.05
AlNi,0.63,0.21465,0.33849,9.745867376614695,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,131.55,0.055051802529410734,1.119047619047619,15.0,-10.2564,3.39,4.44,-6.204899999999999,0.2331,3.7436000000000007,1821.65,933.15,1728.15,1434.0
AlNi,0.64,0.21465,0.33849,9.830865569455106,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,131.4,0.05479452054794522,1.119047619047619,15.0,-10.137599999999999,3.39,4.44,-6.075599999999999,0.2304,3.862400000000001,1804.07,933.15,1728.15,1441.95
AlNi,0.65,0.21465,0.33849,9.917529226992652,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,131.25,0.05451081150953977,1.119047619047619,15.0,-10.01,3.39,4.44,-5.937499999999999,0.22749999999999998,3.99,1787.87,933.15,1728.15,1449.9
AlNi,0.66,0.21465,0.33849,10.00585834922733,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,131.10000000000002,0.054200088248636244,1.119047619047619,15.0,-9.8736,3.39,4.44,-5.7905999999999995,0.2244,4.1264,1770.84,933.15,1728.15,1457.8500000000001
AlNi,0.67,0.21465,0.33849,10.095852936159137,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,130.95,0.05386170879958191,1.119047619047619,15.0,-9.728399999999999,3.39,4.44,-5.634899999999998,0.2211,4.271600000000001,1767.6799999999998,933.15,1728.15,1465.8000000000002
AlNi,0.68,0.21465,0.33849,10.187512987788079,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,130.8,0.05349497151234219,1.119047619047619,15.0,-9.574399999999999,3.39,4.44,-5.470399999999999,0.2176,4.425600000000001,1754.27,933.15,1728.15,1473.75
AlNi,0.6900000000000001,0.21465,0.33849,10.280838504114154,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,130.65,0.05309910943672641,1.119047619047619,15.0,-9.4116,3.39,4.44,-5.2970999999999995,0.21389999999999998,4.5884,1742.7800000000002,933.15,1728.15,1481.7
AlNi,0.7000000000000001,0.21465,0.33849,10.375829485137356,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,130.5,0.052673283850067115,1.119047619047619,15.0,-9.239999999999998,3.39,4.44,-5.114999999999998,0.20999999999999996,4.760000000000002,1705.5300000000002,933.15,1728.15,1489.65
AlNi,0.71,0.21465,0.33849,10.472485930857696,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,130.35,0.05221657677578108,1.119047619047619,15.0,-9.059600000000001,3.39,4.44,-4.924100000000001,0.20590000000000003,4.940399999999999,1715.0099999999998,933.15,1728.15,1497.6
AlNi,0.72,0.21465,0.33849,10.570807841275165,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,130.2,0.051727982305630506,1.119047619047619,15.0,-8.8704,3.39,4.44,-4.7244,0.2016,5.1296,1676.41,933.15,1728.15,1505.5500000000002
AlNi,0.73,0.21465,0.33849,10.670795216389767,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,130.05,0.05120639649463229,1.119047619047619,15.0,-8.6724,3.39,4.44,-4.515899999999999,0.1971,5.3276,1663.04,933.15,1728.15,1513.5
